timesteps,episode_reward,episode_length
141040,-17.339804,300
141536,-45.499792,300
141600,-36.424129,300
141600,-26.192571,300
141600,-34.918128,300
141600,-72.224029,300
142880,-32.947799,300
143144,-38.643208,300
143440,-38.543079,300
143936,-43.45833,300
144000,-57.761831,300
144000,-66.012897,300
144000,-49.044134,300
144000,-51.27995,300
145280,-22.426109,300
145544,-49.748105,300
145840,-19.266147,300
146336,-50.995865,300
146400,-27.951581,300
146400,-73.92816,300
146400,-38.410838,300
146400,-63.965667,300
147680,-69.088225,300
147944,-45.567894,300
148240,-70.045776,300
148736,-60.852262,300
148800,-35.216049,300
148800,-32.646008,300
148800,-63.934236,300
148800,-55.642542,300
149008,-0.203413,26
150080,-48.960362,300
150344,-37.643727,300
150640,-24.827196,300
151136,-51.064075,300
151200,-42.897197,300
151200,-50.52044,300
151200,-29.996117,300
151408,-31.502362,300
152480,-45.259006,300
152744,-44.177436,300
153040,-38.041883,300
153536,-23.028557,300
153600,-34.131298,300
153600,-27.235518,300
153600,-45.300259,300
153808,-25.137149,300
154880,-51.918165,300
155144,-42.145512,300
155440,-61.371226,300
155936,-52.151463,300
156000,-32.399866,300
156000,-35.10521,300
156000,-38.859286,300
156208,-49.71976,300
157280,-29.075854,300
157544,-17.259133,300
157840,-23.052283,300
158336,-57.94528,300
158400,-59.355036,300
158400,-63.148247,300
158400,-49.851934,300
158608,-53.770209,300
159680,-25.006905,300
159944,-60.022331,300
160240,-39.6398,300
160736,-44.400872,300
160800,-60.584239,300
160800,-38.259731,300
160800,-48.837627,300
161008,-55.239986,300
162080,-33.851167,300
162344,-35.574761,300
162640,-20.847495,300
163136,-68.976418,300
163200,-47.175748,300
163200,-41.47239,300
163200,-44.401154,300
163408,-48.056206,300
164480,-21.513822,300
164744,-27.291855,300
165040,-31.70599,300
165536,-65.926899,300
165600,-28.22334,300
165600,-31.767432,300
165600,-24.413432,300
165808,-59.653253,300
166880,-33.022739,300
167144,-55.148136,300
167440,-30.807156,300
167936,-56.602431,300
168000,-24.823018,300
168000,-58.79871,300
168000,-42.574307,300
168208,-36.361233,300
169280,-52.990489,300
169544,-38.413887,300
169840,-60.469934,300
170336,-34.073431,300
170400,-21.817235,300
170400,-48.611122,300
170400,-26.364865,300
170608,-33.033918,300
171680,-42.140803,300
171944,-41.804618,300
172240,-20.880035,300
172736,-44.403917,300
172800,-41.058611,300
172800,-43.218232,300
172800,-53.976804,300
173008,-47.933327,300
174080,-36.37505,300
174344,-45.235314,300
174640,-19.037299,300
175136,-34.39342,300
175200,-47.367589,300
175200,-47.420425,300
175200,-21.619695,300
175408,-43.444391,300
175968,-28.972796,236
176744,-36.992576,300
177040,-40.855143,300
177536,-45.271969,300
177600,-54.267347,300
177600,-43.102918,300
177600,-60.391906,300
177808,-33.177597,300
178368,-19.258098,300
179144,-43.193677,300
179440,-23.111544,300
179936,-38.31984,300
180000,-60.156677,300
180000,-43.847669,300
180000,-52.685623,300
180208,-57.914941,300
180768,-36.651614,300
181544,-25.620578,300
181840,-22.209474,300
182336,-24.420034,300
182400,-45.413707,300
182400,-34.853115,300
182400,-50.051694,300
182608,-18.375449,300
183168,-45.122618,300
183944,-31.14573,300
184240,-47.270837,300
184736,-26.840682,300
184800,-26.445823,300
184800,-21.667425,300
184800,-26.101522,300
185008,-46.466119,300
185568,-40.295576,300
186344,-30.52337,300
186640,-49.992629,300
186776,-27.229884,221
187136,-56.512923,300
187200,-22.436155,300
187200,-22.312952,300
187200,-21.840541,300
187968,-28.574834,300
188440,-3.292943,59
188744,-47.666772,300
189040,-45.020792,300
189176,-32.13725,300
189536,-43.38567,300
189600,-30.326554,300
189600,-28.922984,300
189600,-44.030535,300
190840,-20.312718,300
191144,-27.229346,300
191440,-24.073769,300
191576,-55.338598,300
191936,-49.484554,300
192000,-25.564207,300
192000,-35.946096,300
192000,-32.02228,300
193240,-35.437526,300
193544,-24.859094,300
193840,-50.122841,300
193976,-31.628567,300
194336,-19.854819,300
194400,-33.147685,300
194400,-28.187237,300
194400,-23.220541,300
195640,-51.475422,300
195944,-14.716656,300
196240,-35.642837,300
196376,-54.379131,300
196736,-51.232678,300
196800,-55.741794,300
196800,-50.152303,300
196800,-39.033409,300
198040,-34.169133,300
198344,-12.450222,300
198640,-48.994886,300
198776,-27.587075,300
199136,-42.044587,300
199200,-43.582625,300
199200,-37.117049,300
199200,-37.801577,300
200440,-25.079616,300
200744,-45.290212,300
201040,-21.600408,300
201176,-21.256393,300
201536,-51.194196,300
201600,-21.492113,300
201600,-17.518397,300
201600,-23.766083,300
202352,-10.262437,94
202840,-48.485228,300
203144,-19.218663,300
203440,-41.947328,300
203576,-36.60042,300
203936,-18.692292,300
204000,-12.718862,300
204000,-16.208713,300
204752,-40.381117,300
205240,-21.078807,300
205544,-28.103575,300
205840,-43.831123,300
205976,-25.028503,300
206336,-49.907951,300
206400,-20.223501,300
206400,-32.096537,300
207152,-36.558564,300
207176,-14.226814,167
207640,-23.238794,300
207944,-21.325454,300
208376,-46.371007,300
208736,-53.034752,300
208800,-22.323837,300
208800,-29.354416,300
209552,-18.539708,300
209576,-20.192805,300
210040,-18.381154,300
210344,-37.641026,300
210776,-14.621655,300
211136,-41.811339,300
211200,-12.789031,300
211200,-17.511911,300
211952,-36.942014,300
211976,-12.692818,300
212440,-32.691174,300
212744,-33.694438,300
213176,-22.260852,300
213536,-18.480514,300
213600,-16.72386,300
213600,-34.702266,300
214352,-51.704347,300
214376,-39.938099,300
214840,-22.646742,300
215144,-48.202839,300
215576,-43.463626,300
215936,-19.745009,300
216000,-23.610641,300
216000,-31.049438,300
216752,-29.056252,300
216776,-36.877635,300
217240,-16.617575,300
217544,-23.70506,300
217976,-20.681322,300
